,HourUTC,HourDK,PriceArea,Version,FuelAllocationMethod,ReportGrpCode,ProductionType,DeliveryType,Production_MWh,ShareTotal,ShareGrid,FuelConsumptionGJ,CO2PerkWh,CO2originPerkWh,SO2PerkWh,NOxPerkWh,NMvocPerkWh,CH4PerkWh,COPerkWh,N2OPerkWh,SlagPerkWh,FlyAshPerkWh,ParticlesPerkWh,WastePerkWh,DesulpPerkWh
59,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,200%,R01-1,BioGas,Grid,52.090595,1.756506,1.756506,389.332676,0.0,628.575608,143.671754,1504.732308,74.509496,3231.224453,2309.040552,11.91514,0.0,0.0,19.624238,0.0,0.0
60,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,200%,R01-2,Straw,Grid,36.557053,1.232711,1.232711,367.593705,0.0,1005.534296,492.711805,1256.91787,7.843167,4.726011,673.707978,11.060877,9.069919,3.921583,23.127288,0.0,0.0
61,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,200%,R01-3,Wood,Grid,90.225555,3.042425,3.042425,883.841648,0.0,1097.142207,25.443056,394.161381,177.492858,36.297383,994.228103,10.238777,8.835913,3.820405,197.794221,0.0,0.0
62,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,200%,R04x,FossilGas,Grid,24.551193,0.827871,0.827871,194.816189,449.35075,449.35075,7.30864,1244.385397,48.272641,209.296795,109.550698,7.761722,0.0,0.0,34.319272,0.0,0.0
63,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,200%,R05x,Coal,Grid,173.81259,5.860999,5.860999,1546.464491,838.1266,838.1266,97.870409,151.254269,8.897309,8.007578,88.973099,7.117847,6.886517,40.011202,26.691929,0.0,14.547101
64,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,200%,R06x,Fossil Oil,Grid,2.128931,0.071788,0.071788,20.422302,760.540471,760.540471,741.347611,1202.94839,7.989717,8.763522,122.874568,10.362831,0.542975,3.15473,41.735989,0.0,1.146983
65,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,200%,R17,Waste,Grid,67.531824,2.277188,2.277188,737.325694,464.023332,1155.145142,90.621027,851.619292,6.114189,3.712186,42.580964,13.101835,188.055008,0.0,3.166276,28.485573,0.0
66,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,All,R11x,Hydro,Grid,3.209867,0.108237,0.108237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,All,R16,Solar,Grid,0.093548,0.003154,0.003154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,All,R16,Solar,OwnConsumption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,All,R18,WindOffshore,Grid,993.145327,33.489082,33.489082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,All,R19,WindOnshore,Grid,1522.232929,51.330034,51.330034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,Total,R01-1,BioGas,Grid,52.090595,1.756506,1.756506,497.483847,0.0,803.185119,183.631164,1921.243693,95.139045,4125.12494,2948.125677,15.212222,0.0,0.0,25.065951,0.0,0.0
72,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,Total,R01-2,Straw,Grid,36.557053,1.232711,1.232711,570.458872,0.0,1560.461868,764.626315,1950.577335,12.171602,7.33417,1045.509451,17.16508,14.075366,6.085801,35.890622,0.0,0.0
73,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,Total,R01-3,Wood,Grid,90.225555,3.042425,3.042425,1219.805455,0.0,1514.185321,38.127915,573.668721,301.224156,52.710779,1421.824907,15.190411,12.194599,5.272609,317.022828,0.0,0.0
74,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,Total,R04x,FossilGas,Grid,24.551193,0.827871,0.827871,245.206213,565.533091,565.533091,9.176731,1562.932173,62.51855,272.716581,138.674103,9.760319,0.0,0.0,43.007929,0.0,0.0
75,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,Total,R05x,Coal,Grid,173.81259,5.860999,5.860999,1721.530067,933.005671,933.005671,108.949706,168.376819,9.904518,8.914066,99.045188,7.923615,7.666097,44.540621,29.713556,0.0,16.193888
76,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,Total,R06x,Fossil Oil,Grid,2.128931,0.071788,0.071788,34.246577,1270.122755,1270.122755,1171.3425,2003.205392,13.26484,15.731738,180.787281,27.147693,0.854162,4.962751,85.120536,0.0,1.804335
77,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,Preliminary,Total,R17,Waste,Grid,67.531824,2.277188,2.277188,1474.570891,927.996005,2310.164172,181.232161,1703.145609,12.227712,7.423968,85.15728,26.20224,376.089486,0.0,6.332208,56.968037,0.0
