,Minutes5UTC,Minutes5DK,PriceArea,CO2Emission
369,2023-01-01T07:35:00,2023-01-01T08:35:00,DK2,50.0
370,2023-01-01T07:30:00,2023-01-01T08:30:00,DK1,50.0
371,2023-01-01T07:30:00,2023-01-01T08:30:00,DK2,50.0
372,2023-01-01T07:25:00,2023-01-01T08:25:00,DK1,50.0
373,2023-01-01T07:25:00,2023-01-01T08:25:00,DK2,50.0
374,2023-01-01T07:20:00,2023-01-01T08:20:00,DK1,51.0
375,2023-01-01T07:20:00,2023-01-01T08:20:00,DK2,51.0
376,2023-01-01T07:15:00,2023-01-01T08:15:00,DK1,62.0
377,2023-01-01T07:15:00,2023-01-01T08:15:00,DK2,62.0
378,2023-01-01T07:10:00,2023-01-01T08:10:00,DK1,68.0
379,2023-01-01T07:10:00,2023-01-01T08:10:00,DK2,68.0
380,2023-01-01T07:05:00,2023-01-01T08:05:00,DK1,71.0
381,2023-01-01T07:05:00,2023-01-01T08:05:00,DK2,71.0
382,2023-01-01T07:00:00,2023-01-01T08:00:00,DK1,78.0
